symbol,direction,score,entry_time_ms,exit_time_ms,entry_price,exit_price,stop_loss,tp1_price,final_target_price,trailing_stop_price,trailing_stop_activated,planned_hold_hours,funding_cost_pct,tp1_hit,outcome,pnl_pct
ETHUSDT,做多观察,100,1777984799999,1777988099999,2387.18,2387.18,2377.532857142857,2396.8271428571425,2406.474285714285,0.0,False,3.0,1.1458333333333333e-05,True,半仓止盈后保本,0.0010091565463872213
ETHUSDT,做多观察,100,1778056499999,1778060099999,2381.16,2405.176428571428,2369.151785714286,2393.168214285714,2405.176428571428,0.0,False,1.5,1.25e-05,True,分批止盈,0.006552015374259232
SOLUSDT,做多观察,100,1776945899999,1776951299999,85.94,85.78,85.45635714285714,86.42364285714285,86.9072857142857,0.0,False,1.5,1.875e-05,False,到期平仓,-0.0028805140214102467
SOLUSDT,做多观察,100,1776957599999,1776962999999,86.23,85.96,85.43950000000001,87.0205,87.81099999999999,0.0,False,1.5,1.875e-05,False,到期平仓,-0.004149910848892616
SOLUSDT,做空观察,100,1777005599999,1777010399999,85.2,85.72592857142858,85.72592857142858,84.67407142857142,84.14814285714284,0.0,False,2.5,1.6666666666666667e-05,False,止损,-0.007189537223340135
SOLUSDT,做多观察,100,1777032299999,1777037699999,86.32,86.21,85.78157142857143,86.85842857142856,87.39685714285713,0.0,False,1.5,1.875e-05,False,到期平仓,-0.002293078081556991
SOLUSDT,做空观察,100,1777134899999,1777140299999,85.91,85.69,86.30542857142858,85.51457142857141,85.11914285714283,0.0,False,1.5,1.875e-05,True,半仓止盈后到期,0.0025630715075577962
SOLUSDT,做多观察,100,1777227599999,1777231799999,86.78,86.78,86.43757142857143,87.12242857142857,87.46485714285714,0.0,False,1.5,1.4583333333333333e-05,True,半仓止盈后保本,0.0009583860802906018
SOLUSDT,做多观察,100,1777258499999,1777266599999,87.96,87.07414285714285,87.07414285714285,88.84585714285714,89.73171428571429,0.0,False,3.0,2.8125e-05,False,止损,-0.0110992612307543
SOLUSDT,做空观察,100,1777343699999,1777349999999,84.24,84.24,84.58371428571428,83.89628571428571,83.55257142857143,0.0,False,2.5,2.1875e-05,True,半仓止盈后保本,0.0010182145400895331
SOLUSDT,做空观察,100,1777376999999,1777384199999,83.26,83.79464285714286,83.79464285714286,82.72535714285715,82.1907142857143,0.0,False,2.5,2.5e-05,False,止损,-0.007446365086990824
SOLUSDT,做空观察,100,1777451699999,1777455299999,84.42,84.80285714285714,84.80285714285714,84.03714285714287,83.65428571428573,0.0,False,1.5,1.25e-05,False,止损,-0.005547647392290141
SOLUSDT,做空观察,96,1777469699999,1777475099999,83.75,83.5,84.35835714285714,83.14164285714286,82.53328571428571,0.0,False,1.5,1.875e-05,False,到期平仓,0.0019663246268656715
SOLUSDT,做空观察,100,1777475099999,1777484099999,83.5,82.91,84.21735714285714,82.78264285714286,82.06528571428572,0.0,False,2.5,3.125e-05,True,半仓止盈后到期,0.006797235885372112
SOLUSDT,做空观察,100,1777486199999,1777491599999,81.6,82.06,83.81514285714286,79.38485714285713,77.16971428571426,0.0,False,1.5,1.875e-05,False,到期平仓,-0.006656004901960882
